DATE,ALPCPI
1929-01-01,319
1930-01-01,263
1931-01-01,220
1932-01-01,159
1933-01-01,164
1934-01-01,207
1935-01-01,216
1936-01-01,249
1937-01-01,266
1938-01-01,242
1939-01-01,251
1940-01-01,281
1941-01-01,379
1942-01-01,532
1943-01-01,676
1944-01-01,753
1945-01-01,799
1946-01-01,763
1947-01-01,809
1948-01-01,881
1949-01-01,838
1950-01-01,919.0
1951-01-01,1071.0
1952-01-01,1137.0
1953-01-01,1193.0
1954-01-01,1167.0
1955-01-01,1305.0
1956-01-01,1390.0
1957-01-01,1460.0
1958-01-01,1496.0
1959-01-01,1553.0
1960-01-01,1585.0
1961-01-01,1616.0
1962-01-01,1695.0
1963-01-01,1782.0
1964-01-01,1914.0
1965-01-01,2048.0
1966-01-01,2184.0
1967-01-01,2311.0
1968-01-01,2536.0
1969-01-01,2831.0
1970-01-01,3081.0
1971-01-01,3345.0
1972-01-01,3672.0
1973-01-01,4088.0
1974-01-01,4477.0
1975-01-01,4918.0
1976-01-01,5438.0
1977-01-01,5920.0
1978-01-01,6609.0
1979-01-01,7275.0
1980-01-01,7957.0
1981-01-01,8796.0
1982-01-01,9272.0
1983-01-01,9906.0
1984-01-01,10848.0
1985-01-01,11604.0
1986-01-01,12223.0
1987-01-01,12864.0
1988-01-01,13807.0
1989-01-01,14986.0
1990-01-01,15861.0
1991-01-01,16572.0
1992-01-01,17583.0
1993-01-01,18129.0
1994-01-01,18977.0
1995-01-01,19892.0
1996-01-01,20630.0
1997-01-01,21516.0
1998-01-01,22692.0
1999-01-01,23352.0
2000-01-01,24338.0
2001-01-01,25104.0
2002-01-01,25712.0
2003-01-01,26693
2004-01-01,28415.0
2005-01-01,29832.0
2006-01-01,31362.0
2007-01-01,32598.0
2008-01-01,33353.0
2009-01-01,32608.0
2010-01-01,33752.0
2011-01-01,34995.0
2012-01-01,35884.0
2013-01-01,36110.0
2014-01-01,37271.0
2015-01-01,38650.0
2016-01-01,39234.0
2017-01-01,40473.0
2018-01-01,42240.0
2019-01-01,43880.0
