DATE,DEPCPI
1929-01-01,1031
1930-01-01,858
1931-01-01,776
1932-01-01,591
1933-01-01,566
1934-01-01,647
1935-01-01,706
1936-01-01,872
1937-01-01,955
1938-01-01,801
1939-01-01,907
1940-01-01,1038
1941-01-01,1179
1942-01-01,1312
1943-01-01,1491
1944-01-01,1529
1945-01-01,1552
1946-01-01,1579
1947-01-01,1677
1948-01-01,1679
1949-01-01,1804
1950-01-01,2082.0
1951-01-01,2168.0
1952-01-01,2258.0
1953-01-01,2350.0
1954-01-01,2329.0
1955-01-01,2542.0
1956-01-01,2797.0
1957-01-01,2697.0
1958-01-01,2728.0
1959-01-01,2793.0
1960-01-01,2873.0
1961-01-01,2888.0
1962-01-01,3014.0
1963-01-01,3140.0
1964-01-01,3302.0
1965-01-01,3561.0
1966-01-01,3687.0
1967-01-01,3868.0
1968-01-01,4148.0
1969-01-01,4521.0
1970-01-01,4724.0
1971-01-01,5032.0
1972-01-01,5446.0
1973-01-01,5979.0
1974-01-01,6426.0
1975-01-01,6844.0
1976-01-01,7430.0
1977-01-01,7971.0
1978-01-01,8696.0
1979-01-01,9547.0
1980-01-01,10809.0
1981-01-01,11903.0
1982-01-01,12742.0
1983-01-01,13431.0
1984-01-01,14671.0
1985-01-01,15743.0
1986-01-01,16503.0
1987-01-01,17575.0
1988-01-01,18925.0
1989-01-01,20707.0
1990-01-01,21457.0
1991-01-01,22247.0
1992-01-01,22814.0
1993-01-01,23312.0
1994-01-01,23922.0
1995-01-01,24902.0
1996-01-01,26227.0
1997-01-01,27069.0
1998-01-01,29479.0
1999-01-01,31188.0
2000-01-01,33907.0
2001-01-01,36952.0
2002-01-01,37693.0
2003-01-01,38013.0
2004-01-01,38970.0
2005-01-01,39405.0
2006-01-01,41041.0
2007-01-01,41687.0
2008-01-01,40722.0
2009-01-01,40690.0
2010-01-01,40825.0
2011-01-01,43891.0
2012-01-01,44077.0
2013-01-01,44338.0
2014-01-01,45993.0
2015-01-01,47969.0
2016-01-01,48520.0
2017-01-01,50364.0
2018-01-01,52599.0
2019-01-01,54264.0
