DATE,FLPCPI
1929-01-01,519
1930-01-01,468
1931-01-01,397
1932-01-01,317
1933-01-01,289
1934-01-01,348
1935-01-01,378
1936-01-01,453
1937-01-01,491
1938-01-01,466
1939-01-01,502
1940-01-01,531
1941-01-01,634
1942-01-01,837
1943-01-01,1057
1944-01-01,1154
1945-01-01,1215
1946-01-01,1200
1947-01-01,1195
1948-01-01,1240
1949-01-01,1246
1950-01-01,1351.0
1951-01-01,1440.0
1952-01-01,1539.0
1953-01-01,1636.0
1954-01-01,1628.0
1955-01-01,1743.0
1956-01-01,1870.0
1957-01-01,1915.0
1958-01-01,1967.0
1959-01-01,2091.0
1960-01-01,2105.0
1961-01-01,2130.0
1962-01-01,2209.0
1963-01-01,2299.0
1964-01-01,2449.0
1965-01-01,2599.0
1966-01-01,2781.0
1967-01-01,3007.0
1968-01-01,3355.0
1969-01-01,3765.0
1970-01-01,4131.0
1971-01-01,4433.0
1972-01-01,4860.0
1973-01-01,5371.0
1974-01-01,5757.0
1975-01-01,6107.0
1976-01-01,6557.0
1977-01-01,7182.0
1978-01-01,8064.0
1979-01-01,8939.0
1980-01-01,10145.0
1981-01-01,11354.0
1982-01-01,11942.0
1983-01-01,12846.0
1984-01-01,13939.0
1985-01-01,14829.0
1986-01-01,15610.0
1987-01-01,16436.0
1988-01-01,17601.0
1989-01-01,19081.0
1990-01-01,19763.0
1991-01-01,20073.0
1992-01-01,20825.0
1993-01-01,21641.0
1994-01-01,22310.0
1995-01-01,23496.0
1996-01-01,24500.0
1997-01-01,25378.0
1998-01-01,26854.0
1999-01-01,27678.0
2000-01-01,29428.0
2001-01-01,30344.0
2002-01-01,30727.0
2003-01-01,31704.0
2004-01-01,33694.0
2005-01-01,36011.0
2006-01-01,38448.0
2007-01-01,39602.0
2008-01-01,39247.0
2009-01-01,36611.0
2010-01-01,38475.0
2011-01-01,40131.0
2012-01-01,41115.0
2013-01-01,40696.0
2014-01-01,43140.0
2015-01-01,45321.0
2016-01-01,45721.0
2017-01-01,47899.0
2018-01-01,50199.0
2019-01-01,51989.0
