DATE,IAPCPI
1929-01-01,571
1930-01-01,501
1931-01-01,396
1932-01-01,293
1933-01-01,252
1934-01-01,271
1935-01-01,418
1936-01-01,391
1937-01-01,513
1938-01-01,451
1939-01-01,468
1940-01-01,494
1941-01-01,603
1942-01-01,829
1943-01-01,1024
1944-01-01,1004
1945-01-01,1096
1946-01-01,1238
1947-01-01,1211
1948-01-01,1621
1949-01-01,1362
1950-01-01,1539.0
1951-01-01,1647.0
1952-01-01,1743.0
1953-01-01,1676.0
1954-01-01,1815.0
1955-01-01,1696.0
1956-01-01,1784.0
1957-01-01,1969.0
1958-01-01,2017.0
1959-01-01,2053.0
1960-01-01,2085.0
1961-01-01,2207.0
1962-01-01,2307.0
1963-01-01,2455.0
1964-01-01,2571.0
1965-01-01,2851.0
1966-01-01,3082.0
1967-01-01,3105.0
1968-01-01,3335.0
1969-01-01,3698.0
1970-01-01,3923.0
1971-01-01,4082.0
1972-01-01,4559.0
1973-01-01,5466.0
1974-01-01,5657.0
1975-01-01,6293.0
1976-01-01,6640.0
1977-01-01,7300.0
1978-01-01,8406.0
1979-01-01,9016.0
1980-01-01,9607.0
1981-01-01,10894.0
1982-01-01,11268.0
1983-01-01,11548.0
1984-01-01,12924.0
1985-01-01,13505.0
1986-01-01,14141.0
1987-01-01,14954.0
1988-01-01,15446.0
1989-01-01,16803.0
1990-01-01,17628.0
1991-01-01,17924.0
1992-01-01,19086.0
1993-01-01,19053.0
1994-01-01,20677.0
1995-01-01,21388.0
1996-01-01,23209.0
1997-01-01,24197.0
1998-01-01,25260.0
1999-01-01,25819.0
2000-01-01,27463.0
2001-01-01,28215.0
2002-01-01,28848.0
2003-01-01,29385.0
2004-01-01,31660.0
2005-01-01,32574.0
2006-01-01,34392.0
2007-01-01,36640.0
2008-01-01,38537.0
2009-01-01,37136.0
2010-01-01,38105.0
2011-01-01,40948.0
2012-01-01,42905.0
2013-01-01,43474.0
2014-01-01,44801.0
2015-01-01,46232.0
2016-01-01,46437.0
2017-01-01,47490.0
2018-01-01,50243.0
2019-01-01,52636.0
