DATE,KSPCPI
1929-01-01,526
1930-01-01,460
1931-01-01,394
1932-01-01,267
1933-01-01,251
1934-01-01,288
1935-01-01,360
1936-01-01,387
1937-01-01,427
1938-01-01,383
1939-01-01,382
1940-01-01,425
1941-01-01,556
1942-01-01,860
1943-01-01,1062
1944-01-01,1182
1945-01-01,1179
1946-01-01,1142
1947-01-01,1304
1948-01-01,1350
1949-01-01,1314
1950-01-01,1481.0
1951-01-01,1622.0
1952-01-01,1864.0
1953-01-01,1779.0
1954-01-01,1839.0
1955-01-01,1800.0
1956-01-01,1871.0
1957-01-01,1966.0
1958-01-01,2144.0
1959-01-01,2149.0
1960-01-01,2211.0
1961-01-01,2275.0
1962-01-01,2351.0
1963-01-01,2420.0
1964-01-01,2558.0
1965-01-01,2731.0
1966-01-01,2933.0
1967-01-01,3075.0
1968-01-01,3321.0
1969-01-01,3665.0
1970-01-01,3956.0
1971-01-01,4298.0
1972-01-01,4772.0
1973-01-01,5417.0
1974-01-01,5848.0
1975-01-01,6358.0
1976-01-01,6850.0
1977-01-01,7413.0
1978-01-01,8151.0
1979-01-01,9251.0
1980-01-01,10075.0
1981-01-01,11342.0
1982-01-01,12213.0
1983-01-01,12643.0
1984-01-01,13827.0
1985-01-01,14524.0
1986-01-01,15193.0
1987-01-01,15805.0
1988-01-01,16533.0
1989-01-01,17433.0
1990-01-01,18438.0
1991-01-01,18934.0
1992-01-01,20115.0
1993-01-01,20853.0
1994-01-01,21599.0
1995-01-01,22349.0
1996-01-01,23688.0
1997-01-01,24958.0
1998-01-01,26238.0
1999-01-01,26936.0
2000-01-01,28244.0
2001-01-01,29078.0
2002-01-01,29202.0
2003-01-01,29925.0
2004-01-01,30664.0
2005-01-01,32312.0
2006-01-01,35447.0
2007-01-01,37811.0
2008-01-01,40791.0
2009-01-01,39088.0
2010-01-01,39563.0
2011-01-01,42716.0
2012-01-01,45120.0
2013-01-01,45962.0
2014-01-01,46881.0
2015-01-01,47394.0
2016-01-01,47517.0
2017-01-01,48902.0
2018-01-01,51474.0
2019-01-01,53453.0
