DATE,LAPCPI
1929-01-01,409
1930-01-01,353
1931-01-01,315
1932-01-01,238
1933-01-01,226
1934-01-01,263
1935-01-01,289
1936-01-01,328
1937-01-01,352
1938-01-01,347
1939-01-01,359
1940-01-01,365
1941-01-01,465
1942-01-01,617
1943-01-01,811
1944-01-01,896
1945-01-01,908
1946-01-01,845
1947-01-01,890
1948-01-01,1023
1949-01-01,1082
1950-01-01,1132.0
1951-01-01,1234.0
1952-01-01,1309.0
1953-01-01,1374.0
1954-01-01,1364.0
1955-01-01,1419.0
1956-01-01,1532.0
1957-01-01,1650.0
1958-01-01,1669.0
1959-01-01,1716.0
1960-01-01,1715.0
1961-01-01,1770.0
1962-01-01,1841.0
1963-01-01,1944.0
1964-01-01,2036.0
1965-01-01,2174.0
1966-01-01,2369.0
1967-01-01,2576.0
1968-01-01,2805.0
1969-01-01,2975.0
1970-01-01,3195.0
1971-01-01,3427.0
1972-01-01,3698.0
1973-01-01,4098.0
1974-01-01,4620.0
1975-01-01,5113.0
1976-01-01,5672.0
1977-01-01,6234.0
1978-01-01,7029.0
1979-01-01,7846.0
1980-01-01,8849.0
1981-01-01,10059.0
1982-01-01,10656.0
1983-01-01,11017.0
1984-01-01,11704.0
1985-01-01,12166.0
1986-01-01,12184.0
1987-01-01,12415.0
1988-01-01,13263.0
1989-01-01,14185.0
1990-01-01,15369.0
1991-01-01,16084.0
1992-01-01,17066.0
1993-01-01,17809.0
1994-01-01,18840.0
1995-01-01,19630.0
1996-01-01,20409.0
1997-01-01,21352.0
1998-01-01,22283.0
1999-01-01,22731.0
2000-01-01,23943
2001-01-01,25561.0
2002-01-01,26171.0
2003-01-01,26793.0
2004-01-01,27744.0
2005-01-01,29699.0
2006-01-01,33385.0
2007-01-01,35966.0
2008-01-01,37891.0
2009-01-01,36457.0
2010-01-01,37649.0
2011-01-01,38706.0
2012-01-01,40554.0
2013-01-01,40912.0
2014-01-01,42686.0
2015-01-01,43036.0
2016-01-01,42726.0
2017-01-01,43941.0
2018-01-01,46245.0
2019-01-01,48008.0
