DATE,MOPCPI
1929-01-01,619
1930-01-01,560
1931-01-01,489
1932-01-01,365
1933-01-01,334
1934-01-01,368
1935-01-01,421
1936-01-01,467
1937-01-01,508
1938-01-01,476
1939-01-01,504
1940-01-01,520
1941-01-01,646
1942-01-01,819
1943-01-01,980
1944-01-01,1083
1945-01-01,1147
1946-01-01,1200
1947-01-01,1230
1948-01-01,1378
1949-01-01,1332
1950-01-01,1438.0
1951-01-01,1574.0
1952-01-01,1682.0
1953-01-01,1763.0
1954-01-01,1756.0
1955-01-01,1849.0
1956-01-01,1937.0
1957-01-01,1980.0
1958-01-01,2109.0
1959-01-01,2196.0
1960-01-01,2226.0
1961-01-01,2289.0
1962-01-01,2407.0
1963-01-01,2505.0
1964-01-01,2616.0
1965-01-01,2828.0
1966-01-01,2993.0
1967-01-01,3174.0
1968-01-01,3492.0
1969-01-01,3645.0
1970-01-01,3945.0
1971-01-01,4222.0
1972-01-01,4562.0
1973-01-01,5045.0
1974-01-01,5386.0
1975-01-01,5883.0
1976-01-01,6409.0
1977-01-01,7070.0
1978-01-01,7828.0
1979-01-01,8695.0
1980-01-01,9370.0
1981-01-01,10445.0
1982-01-01,11174.0
1983-01-01,11885.0
1984-01-01,13103.0
1985-01-01,13948.0
1986-01-01,14616.0
1987-01-01,15296.0
1988-01-01,16162.0
1989-01-01,17277.0
1990-01-01,17920.0
1991-01-01,18559.0
1992-01-01,19578.0
1993-01-01,20265.0
1994-01-01,21296.0
1995-01-01,22236.0
1996-01-01,23321.0
1997-01-01,24507.0
1998-01-01,25564.0
1999-01-01,26416.0
2000-01-01,28001.0
2001-01-01,28716.0
2002-01-01,29193.0
2003-01-01,30082.0
2004-01-01,31456.0
2005-01-01,32387.0
2006-01-01,34024.0
2007-01-01,35397.0
2008-01-01,37054.0
2009-01-01,36182.0
2010-01-01,36823.0
2011-01-01,38339.0
2012-01-01,40131.0
2013-01-01,40323.0
2014-01-01,41775.0
2015-01-01,43096.0
2016-01-01,44336.0
2017-01-01,45759.0
2018-01-01,47784.0
2019-01-01,49589.0
