DATE,NMPCPI
1929-01-01,405
1930-01-01,333
1931-01-01,287
1932-01-01,208
1933-01-01,211
1934-01-01,246
1935-01-01,293
1936-01-01,343
1937-01-01,362
1938-01-01,338
1939-01-01,356
1940-01-01,377
1941-01-01,476
1942-01-01,656
1943-01-01,803
1944-01-01,908
1945-01-01,971
1946-01-01,947
1947-01-01,1026
1948-01-01,1156
1949-01-01,1188
1950-01-01,1260.0
1951-01-01,1410.0
1952-01-01,1506.0
1953-01-01,1536.0
1954-01-01,1557.0
1955-01-01,1641.0
1956-01-01,1725.0
1957-01-01,1842.0
1958-01-01,1952.0
1959-01-01,2022.0
1960-01-01,2004.0
1961-01-01,2073.0
1962-01-01,2124.0
1963-01-01,2174.0
1964-01-01,2260.0
1965-01-01,2383.0
1966-01-01,2517.0
1967-01-01,2620.0
1968-01-01,2854.0
1969-01-01,3109.0
1970-01-01,3420.0
1971-01-01,3677.0
1972-01-01,4039.0
1973-01-01,4421.0
1974-01-01,4858.0
1975-01-01,5391.0
1976-01-01,5846.0
1977-01-01,6382.0
1978-01-01,7148.0
1979-01-01,7878.0
1980-01-01,8647.0
1981-01-01,9604.0
1982-01-01,10282.0
1983-01-01,10819.0
1984-01-01,11626.0
1985-01-01,12392.0
1986-01-01,12665.0
1987-01-01,13059.0
1988-01-01,13689.0
1989-01-01,14532.0
1990-01-01,15314.0
1991-01-01,16034.0
1992-01-01,16800.0
1993-01-01,17616.0
1994-01-01,18291.0
1995-01-01,19223.0
1996-01-01,19826.0
1997-01-01,20576.0
1998-01-01,21389.0
1999-01-01,21722.0
2000-01-01,23237.0
2001-01-01,24738.0
2002-01-01,25381.0
2003-01-01,26203.0
2004-01-01,27453.0
2005-01-01,28898.0
2006-01-01,30552.0
2007-01-01,31867.0
2008-01-01,33443.0
2009-01-01,32729.0
2010-01-01,33542.0
2011-01-01,35002.0
2012-01-01,35729.0
2013-01-01,35087.0
2014-01-01,37195.0
2015-01-01,38278.0
2016-01-01,38846.0
2017-01-01,39551.0
2018-01-01,41663.0
2019-01-01,43984.0
