DATE,TNPCPI
1929-01-01,373
1930-01-01,321
1931-01-01,273
1932-01-01,194
1933-01-01,201
1934-01-01,242
1935-01-01,263
1936-01-01,303
1937-01-01,332
1938-01-01,298
1939-01-01,310
1940-01-01,339
1941-01-01,441
1942-01-01,570
1943-01-01,745
1944-01-01,879
1945-01-01,926
1946-01-01,880
1947-01-01,896
1948-01-01,970
1949-01-01,959
1950-01-01,1040.0
1951-01-01,1140.0
1952-01-01,1200.0
1953-01-01,1300.0
1954-01-01,1300.0
1955-01-01,1351.0
1956-01-01,1448.0
1957-01-01,1507.0
1958-01-01,1553.0
1959-01-01,1640.0
1960-01-01,1659.0
1961-01-01,1733.0
1962-01-01,1815.0
1963-01-01,1902.0
1964-01-01,2016.0
1965-01-01,2182.0
1966-01-01,2387.0
1967-01-01,2532.0
1968-01-01,2809.0
1969-01-01,3032.0
1970-01-01,3264.0
1971-01-01,3538.0
1972-01-01,3906.0
1973-01-01,4384.0
1974-01-01,4778.0
1975-01-01,5138.0
1976-01-01,5664.0
1977-01-01,6174.0
1978-01-01,6943.0
1979-01-01,7620.0
1980-01-01,8277.0
1981-01-01,9159.0
1982-01-01,9696.0
1983-01-01,10313.0
1984-01-01,11411.0
1985-01-01,12132.0
1986-01-01,12918.0
1987-01-01,13787.0
1988-01-01,14857.0
1989-01-01,15847.0
1990-01-01,16709.0
1991-01-01,17318.0
1992-01-01,18625.0
1993-01-01,19482.0
1994-01-01,20357.0
1995-01-01,21469.0
1996-01-01,22301.0
1997-01-01,23267.0
1998-01-01,25141.0
1999-01-01,25815.0
2000-01-01,27073.0
2001-01-01,27537.0
2002-01-01,28096.0
2003-01-01,28977.0
2004-01-01,30365.0
2005-01-01,31370.0
2006-01-01,32897.0
2007-01-01,33998.0
2008-01-01,34830.0
2009-01-01,34260.0
2010-01-01,35653.0
2011-01-01,37616.0
2012-01-01,39296.0
2013-01-01,39421.0
2014-01-01,40799.0
2015-01-01,42590.0
2016-01-01,43720.0
2017-01-01,44950.0
2018-01-01,46889.0
2019-01-01,48761.0
