DATE,UTPCPI
1929-01-01,548
1930-01-01,494
1931-01-01,372
1932-01-01,304
1933-01-01,297
1934-01-01,314
1935-01-01,391
1936-01-01,463
1937-01-01,447
1938-01-01,446
1939-01-01,460
1940-01-01,484
1941-01-01,600
1942-01-01,907
1943-01-01,1164
1944-01-01,1078
1945-01-01,1153
1946-01-01,1121
1947-01-01,1196
1948-01-01,1287
1949-01-01,1295
1950-01-01,1391.0
1951-01-01,1600.0
1952-01-01,1657.0
1953-01-01,1667.0
1954-01-01,1640.0
1955-01-01,1738.0
1956-01-01,1835.0
1957-01-01,1950.0
1958-01-01,1973.0
1959-01-01,2054.0
1960-01-01,2122.0
1961-01-01,2187.0
1962-01-01,2326.0
1963-01-01,2377.0
1964-01-01,2492.0
1965-01-01,2599.0
1966-01-01,2727.0
1967-01-01,2849.0
1968-01-01,3024.0
1969-01-01,3254.0
1970-01-01,3558.0
1971-01-01,3855.0
1972-01-01,4179.0
1973-01-01,4520.0
1974-01-01,4930.0
1975-01-01,5341.0
1976-01-01,5866.0
1977-01-01,6412.0
1978-01-01,7119.0
1979-01-01,7748.0
1980-01-01,8366.0
1981-01-01,9167.0
1982-01-01,9669.0
1983-01-01,10116.0
1984-01-01,10984.0
1985-01-01,11607.0
1986-01-01,12053.0
1987-01-01,12511.0
1988-01-01,13218.0
1989-01-01,14050.0
1990-01-01,15010.0
1991-01-01,15656.0
1992-01-01,16401.0
1993-01-01,17115.0
1994-01-01,17933.0
1995-01-01,19019.0
1996-01-01,20183.0
1997-01-01,21288.0
1998-01-01,22284.0
1999-01-01,23078.0
2000-01-01,24266.0
2001-01-01,24930.0
2002-01-01,25208.0
2003-01-01,25739.0
2004-01-01,26984.0
2005-01-01,28832.0
2006-01-01,31306.0
2007-01-01,33123.0
2008-01-01,33857.0
2009-01-01,31833.0
2010-01-01,32156.0
2011-01-01,34198.0
2012-01-01,36140.0
2013-01-01,36729.0
2014-01-01,38524.0
2015-01-01,40876.0
2016-01-01,42385.0
2017-01-01,44032.0
2018-01-01,46431.0
2019-01-01,48395.0
