DATE,VAPCPI
1929-01-01,435
1930-01-01,387
1931-01-01,371
1932-01-01,286
1933-01-01,286
1934-01-01,323
1935-01-01,354
1936-01-01,394
1937-01-01,426
1938-01-01,394
1939-01-01,431
1940-01-01,480
1941-01-01,614
1942-01-01,847
1943-01-01,887
1944-01-01,938
1945-01-01,987
1946-01-01,1050
1947-01-01,1052
1948-01-01,1202
1949-01-01,1185
1950-01-01,1327.0
1951-01-01,1512.0
1952-01-01,1615.0
1953-01-01,1647.0
1954-01-01,1677.0
1955-01-01,1754.0
1956-01-01,1829.0
1957-01-01,1868.0
1958-01-01,1895.0
1959-01-01,2006.0
1960-01-01,2050.0
1961-01-01,2126.0
1962-01-01,2248.0
1963-01-01,2364.0
1964-01-01,2559.0
1965-01-01,2729.0
1966-01-01,2923.0
1967-01-01,3161.0
1968-01-01,3459.0
1969-01-01,3868.0
1970-01-01,4157.0
1971-01-01,4505.0
1972-01-01,4922.0
1973-01-01,5424.0
1974-01-01,5924.0
1975-01-01,6404.0
1976-01-01,6969.0
1977-01-01,7613.0
1978-01-01,8514.0
1979-01-01,9425.0
1980-01-01,10567.0
1981-01-01,11700.0
1982-01-01,12535.0
1983-01-01,13341.0
1984-01-01,14642.0
1985-01-01,15627.0
1986-01-01,16577.0
1987-01-01,17542.0
1988-01-01,18870.0
1989-01-01,20136.0
1990-01-01,20840.0
1991-01-01,21431.0
1992-01-01,22398.0
1993-01-01,23192.0
1994-01-01,24098.0
1995-01-01,25035.0
1996-01-01,25973.0
1997-01-01,27360.0
1998-01-01,28992.0
1999-01-01,30615.0
2000-01-01,32693.0
2001-01-01,33954.0
2002-01-01,34455.0
2003-01-01,36139.0
2004-01-01,38164.0
2005-01-01,40259.0
2006-01-01,42494.0
2007-01-01,44272.0
2008-01-01,45437.0
2009-01-01,44122.0
2010-01-01,45495.0
2011-01-01,47771.0
2012-01-01,49586.0
2013-01-01,48858.0
2014-01-01,50761.0
2015-01-01,52899.0
2016-01-01,53611.0
2017-01-01,55317.0
2018-01-01,57910.0
2019-01-01,60116.0
